,id,isResult,h,a,goals,xG,forecast,year
35,2624,True,"{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'h': '3', 'a': '0'}","{'h': '1.4381', 'a': '0.066087'}","{'w': '0.7776', 'd': '0.2094', 'l': '0.013'}",2016
36,2625,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'h': '1', 'a': '1'}","{'h': '1.51667', 'a': '0.496236'}","{'w': '0.6664', 'd': '0.2434', 'l': '0.0902'}",2016
37,2626,True,"{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '2', 'a': '1'}","{'h': '1.36067', 'a': '0.204316'}","{'w': '0.7267', 'd': '0.2288', 'l': '0.0445'}",2016
38,2627,True,"{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'h': '1', 'a': '2'}","{'h': '1.22349', 'a': '1.563'}","{'w': '0.2314', 'd': '0.329', 'l': '0.4396'}",2016
39,2628,True,"{'id': '193', 'title': 'Anzhi Makhachkala', 'short_title': 'ANZ'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '0', 'a': '2'}","{'h': '1.10356', 'a': '1.94536'}","{'w': '0.181', 'd': '0.2357', 'l': '0.5833'}",2016
40,2629,True,"{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'id': '194', 'title': 'Krylya Sovetov Samara', 'short_title': 'KSS'}","{'h': '2', 'a': '1'}","{'h': '0.692426', 'a': '0.767088'}","{'w': '0.2885', 'd': '0.3798', 'l': '0.3317'}",2016
41,2630,True,"{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'id': '201', 'title': 'Tom Tomsk', 'short_title': 'TOM'}","{'h': '1', 'a': '0'}","{'h': '0.319588', 'a': '0.487281'}","{'w': '0.1859', 'd': '0.5165', 'l': '0.2976'}",2016
42,2631,True,"{'id': '199', 'title': 'FC Orenburg', 'short_title': 'ORE'}","{'id': '193', 'title': 'Anzhi Makhachkala', 'short_title': 'ANZ'}","{'h': '0', 'a': '0'}","{'h': '0.30175', 'a': '0.576329'}","{'w': '0.1564', 'd': '0.4785', 'l': '0.3651'}",2016
43,2632,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'h': '3', 'a': '0'}","{'h': '1.69365', 'a': '0.29312'}","{'w': '0.7868', 'd': '0.1755', 'l': '0.0377'}",2016
44,2633,True,"{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '0', 'a': '0'}","{'h': '0.0843245', 'a': '0.377297'}","{'w': '0.0551', 'd': '0.6464', 'l': '0.2985'}",2016
45,2634,True,"{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'h': '1', 'a': '0'}","{'h': '0.694676', 'a': '0.552429'}","{'w': '0.3414', 'd': '0.4053', 'l': '0.2533'}",2016
46,2635,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'h': '0', 'a': '5'}","{'h': '0.474489', 'a': '2.28845'}","{'w': '0.0347', 'd': '0.1181', 'l': '0.8472'}",2016
47,2636,True,"{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'h': '3', 'a': '1'}","{'h': '2.52178', 'a': '0.233805'}","{'w': '0.9325', 'd': '0.0575', 'l': '0.01'}",2016
48,2637,True,"{'id': '199', 'title': 'FC Orenburg', 'short_title': 'ORE'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '1', 'a': '3'}","{'h': '1.13048', 'a': '0.733279'}","{'w': '0.4685', 'd': '0.346', 'l': '0.1855'}",2016
49,2638,True,"{'id': '201', 'title': 'Tom Tomsk', 'short_title': 'TOM'}","{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'h': '1', 'a': '0'}","{'h': '0.413294', 'a': '0.358811'}","{'w': '0.2582', 'd': '0.525', 'l': '0.2168'}",2016
50,2639,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '193', 'title': 'Anzhi Makhachkala', 'short_title': 'ANZ'}","{'h': '0', 'a': '1'}","{'h': '0.534521', 'a': '0.209932'}","{'w': '0.3518', 'd': '0.533', 'l': '0.1152'}",2016
51,2640,True,"{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'h': '1', 'a': '3'}","{'h': '0.221119', 'a': '1.16198'}","{'w': '0.0423', 'd': '0.2403', 'l': '0.7174'}",2016
52,2641,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '0', 'a': '1'}","{'h': '1.44242', 'a': '0.117698'}","{'w': '0.8287', 'd': '0.1549', 'l': '0.0164'}",2016
53,2642,True,"{'id': '194', 'title': 'Krylya Sovetov Samara', 'short_title': 'KSS'}","{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'h': '1', 'a': '2'}","{'h': '0.708567', 'a': '1.04672'}","{'w': '0.239', 'd': '0.3302', 'l': '0.4308'}",2016
54,2643,True,"{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '2', 'a': '1'}","{'h': '2.03214', 'a': '0.428456'}","{'w': '0.8447', 'd': '0.1232', 'l': '0.0321'}",2016
55,2644,True,"{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'h': '4', 'a': '1'}","{'h': '2.77633', 'a': '0.42655'}","{'w': '0.9249', 'd': '0.0606', 'l': '0.0145'}",2016
56,2645,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '1', 'a': '1'}","{'h': '1.05506', 'a': '0.477177'}","{'w': '0.5359', 'd': '0.3201', 'l': '0.144'}",2016
57,2646,True,"{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'h': '1', 'a': '0'}","{'h': '0.392838', 'a': '0.42648'}","{'w': '0.2285', 'd': '0.5241', 'l': '0.2474'}",2016
